source_name,source_type,source_RA,source_DEC,22present,27present
4FGL_J1809.8-2332,PSR,272.4614,-23.5395,1,1
4FGL_J1844.4-0345,PSR,281.1182,-3.7579,1,1
4FGL_J0106.4+4855,PSR,16.6094,48.9269,1,1
4FGL_J1207.4-5050,PSR,181.8508,-50.8495,1,1
4FGL_J1048.2-5832,PSR,162.0575,-58.5396,1,1
4FGL_J0734.7-1559,PSR,113.6891,-15.9917,1,1
4FGL_J1620.7-4927,PSR,245.1805,-49.4599,1,1
4FGL_J2256.8-1024,PSR,344.2162,-10.4076,1,1
4FGL_J2140.0+4716,PSR,325.0009,47.2686,1,1
4FGL_J1838.9-0537,PSR,279.7459,-5.6174,1,1
4FGL_J1553.1+5438,PSR,238.2833,54.6413,1,1
4FGL_J1105.4-6108,PSR,166.3650,-61.1497,1,1
4FGL_J1124.7-5915,PSR,171.1774,-59.2611,1,1
4FGL_J1702.9-4131,PSR,255.7401,-41.5266,1,1
4FGL_J1600.9-3054,PSR,240.2267,-30.9102,1,1
4FGL_J1614.5-2230,PSR,243.6415,-22.5044,1,1
4FGL_J2030.0+3641,PSR,307.5086,36.6872,1,1
4FGL_J1536.4-4948,PSR,234.1003,-49.8164,1,1
4FGL_J1709.7-4429,PSR,257.4298,-44.4854,1,1
4FGL_J0248.6+4230,PSR,42.1544,42.5000,1,1
4FGL_J0357.8+3204,PSR,59.4605,32.0833,1,1
4FGL_J1831.5-0935,PSR,277.8821,-9.5845,1,1
4FGL_J1732.5-3131,PSR,263.1452,-31.5174,1,1
4FGL_J0659.7+1416,PSR,104.9416,14.2792,1,1
4FGL_J1827.4-1445,PSR,276.8733,-14.7622,1,1
4FGL_J0205.7+6449,PSR,31.4273,64.8239,1,1
4FGL_J1142.8+0120,PSR,175.7154,1.3400,1,1
4FGL_J1714.4-3830,PSR,258.6124,-38.5070,1,1
4FGL_J0614.1-3329,PSR,93.5422,-33.4976,1,1
4FGL_J2302.7+4443,PSR,345.6918,44.7182,1,1
4FGL_J1811.3-2403,PSR,272.8324,-24.0550,1,1
4FGL_J0613.7-0201,PSR,93.4375,-2.0217,1,1
4FGL_J1356.9-6432,PSR,209.2340,-64.5401,1,1
4FGL_J1422.5-6137,PSR,215.6298,-61.6311,1,1
4FGL_J1837.8-0604,PSR,279.4726,-6.0824,1,1
4FGL_J1418.7-6057,PSR,214.6927,-60.9654,1,1
4FGL_J1509.4-5850,PSR,227.3646,-58.8431,1,1
4FGL_J2042.2+0245,PSR,310.5609,2.7581,1,1
4FGL_J2006.4+0147,PSR,301.6243,1.7980,1,1
4FGL_J2234.7+0943,PSR,338.6906,9.7320,1,1
4FGL_J1902.0-5105,PSR,285.5105,-51.0900,1,1
4FGL_J0540.3-6920,PSR,85.0887,-69.3383,1,1
4FGL_J1718.2-3825,PSR,259.5634,-38.4318,1,1
4FGL_J0931.2-1906,PSR,142.8242,-19.1157,1,1
4FGL_J0622.2+3749,PSR,95.5616,37.8291,1,1
4FGL_J1732.7-5050,PSR,263.1811,-50.8377,1,1
4FGL_J1614.1-5047,PSR,243.5403,-50.7863,1,1
4FGL_J2317.3+1433,PSR,349.3349,14.5651,1,1
4FGL_J1921.4+0136,PSR,290.3570,1.6066,1,1
4FGL_J1932.3+1916,PSR,293.0761,19.2685,1,1
4FGL_J1035.4-6720,PSR,158.8645,-67.3380,1,1
4FGL_J2238.5+5903,PSR,339.6277,59.0563,1,1
4FGL_J1341.7-6216,PSR,205.4337,-62.2801,1,1
4FGL_J1623.0-0315,PSR,245.7520,-3.2640,1,1
4FGL_J0318.2+0254,PSR,49.5675,2.9073,1,1
4FGL_J1124.0-3653,PSR,171.0135,-36.8998,1,1
4FGL_J2339.6-0533,PSR,354.9106,-5.5511,1,1
4FGL_J1756.6-2352,PSR,269.1652,-23.8717,1,0
4FGL_J1745.5+1017,PSR,266.3994,10.2947,1,1
4FGL_J1658.6-5323,PSR,254.6511,-53.3955,1,1
4FGL_J1744.4-1135,PSR,266.1153,-11.5874,1,1
4FGL_J2043.7+2741,PSR,310.9331,27.6936,1,1
4FGL_J1747.7-4037,PSR,266.9460,-40.6231,1,1
4FGL_J1111.8-6039,PSR,167.9624,-60.6590,1,1
4FGL_J0307.8+7443,PSR,46.9724,74.7167,1,1
4FGL_J0023.4+0920,PSR,5.8513,9.3475,1,1
4FGL_J1939.6+2135,PSR,294.9221,21.5918,1,1
4FGL_J1833.5-1033,PSR,278.3832,-10.5568,1,1
4FGL_J2229.0+6114,PSR,337.2737,61.2364,1,1
4FGL_J1813.4-1246,PSR,273.3508,-12.7677,1,1
4FGL_J0751.2+1808,PSR,117.8024,18.1411,1,1
4FGL_J1858.3-2216,PSR,284.5752,-22.2805,1,1
4FGL_J1413.5-6205,PSR,213.3820,-62.0903,1,1
4FGL_J1302.4-3258,PSR,195.6231,-32.9694,1,1
4FGL_J2047.3+1051,PSR,311.8404,10.8606,1,1
4FGL_J1012.1-4235,PSR,153.0499,-42.5893,1,1
4FGL_J0533.8+6800,PSR,83.4710,68.0011,1,1
4FGL_J1119.1-6127,PSR,169.7757,-61.4551,1,1
4FGL_J1125.6-5825,PSR,171.4087,-58.4246,1,1
4FGL_J0633.9+1746,PSR,98.4830,17.7723,1,1
4FGL_J1713.8+0747,PSR,258.4701,7.7927,1,1
4FGL_J1350.6-6224,PSR,207.6746,-62.4133,1,1
4FGL_J1112.1-6108,PSR,168.0302,-61.1341,1,1
4FGL_J2124.7-3358,PSR,321.1919,-33.9786,1,1
4FGL_J2215.6+5135,PSR,333.9018,51.5876,1,1
4FGL_J1824.6-2452,PSR,276.1614,-24.8701,1,1
4FGL_J1231.1-1412,PSR,187.7981,-14.2014,1,1
4FGL_J1925.2+1729,PSR,291.3217,17.4847,1,1
4FGL_J1901.4-0126,PSR,285.3702,-1.4391,1,1
4FGL_J1952.9+3252,PSR,298.2473,32.8830,1,1
4FGL_J1908.9+2103,PSR,287.2387,21.0604,1,1
4FGL_J1036.5-8318,PSR,159.1499,-83.3125,1,1
4FGL_J1301.6+0834,PSR,195.4120,8.5742,1,1
4FGL_J1531.5-5612,PSR,232.8971,-56.2103,1,1
4FGL_J1650.3-4600,PSR,252.5986,-46.0163,1,1
4FGL_J2111.4+4606,PSR,317.8630,46.1048,1,1
4FGL_J2240.6+5833,PSR,340.1669,58.5519,1,1
4FGL_J1056.9-5852,PSR,164.2386,-58.8806,1,1
4FGL_J1803.1-2148,PSR,270.7829,-21.8088,1,1
4FGL_J1826.1-1256,PSR,276.5352,-12.9415,1,1
4FGL_J1730.8-2303,PSR,262.7031,-23.0600,1,1
4FGL_J1543.6-5148,PSR,235.9227,-51.8149,1,1
4FGL_J1824.1+1013,PSR,276.0484,10.2329,1,1
4FGL_J1801.2-2450,PSR,270.3192,-24.8490,1,1
4FGL_J1932.2+2221,PSR,293.0650,22.3616,1,1
4FGL_J1048.6+2340,PSR,162.1711,23.6798,1,1
4FGL_J2021.5+4026,PSR,305.3851,40.4445,1,1
4FGL_J2055.8+2540,PSR,313.9601,25.6740,1,1
4FGL_J1152.0-6107,PSR,178.0226,-61.1298,1,1
4FGL_J2022.3+3840,PSR,305.5845,38.6711,1,1
4FGL_J1228.0-4853,PSR,187.0101,-48.8847,1,1
4FGL_J0248.4+6021,PSR,42.1027,60.3663,1,1
4FGL_J1954.3+2836,PSR,298.5854,28.6026,1,1
4FGL_J2030.9+4416,PSR,307.7256,44.2669,1,1
4FGL_J0741.0+6618,PSR,115.2539,66.3123,1,1
4FGL_J1630.6+3734,PSR,247.6628,37.5825,1,1
4FGL_J1903.4-7053,PSR,285.8622,-70.8886,1,1
4FGL_J2043.3+1711,PSR,310.8380,17.1861,1,1
4FGL_J1747.2-2957,PSR,266.8231,-29.9648,1,1
4FGL_J2208.1+4058,PSR,332.0399,40.9744,1,1
4FGL_J0359.4+5414,PSR,59.8638,54.2482,1,1
4FGL_J1823.5-3020,PSR,275.8915,-30.3495,1,1
4FGL_J1921.1+1930,PSR,290.2928,19.5117,0,1
4FGL_J2039.5-5617,PSR,309.8974,-56.2836,0,1
4FGL_J2039.4-3616,PSR,309.8557,-36.2714,0,1
4FGL_J0652.9+4707,PSR,103.2355,47.1259,0,1
4FGL_J1221.4-0634,PSR,185.3701,-6.5831,0,1
4FGL_J1757.9-2419,PSR,269.4949,-24.3300,0,1
4FGL_J1400.6-1432,PSR,210.1581,-14.5470,0,1
4FGL_J0833.1-4511e,PWN,128.2872,-45.1901,1,1
4FGL_J1514.2-5909e,PWN,228.5710,-59.1630,1,1
4FGL_J1840.9-0532e,PWN,280.2300,-5.5500,1,1
4FGL_J1420.3-6046e,PWN,215.0820,-60.7820,1,1
4FGL_J1552.4-5612e,PWN,238.1100,-56.2100,1,1
4FGL_J1857.7+0246e,PWN,284.4490,2.7740,1,1
4FGL_J1616.2-5054e,PWN,244.0600,-50.9100,1,1
4FGL_J0534.5+2201i,PWN,83.6330,22.0200,1,1
4FGL_J0534.5+2201s,PWN,83.6331,22.0199,1,1
4FGL_J1303.0-6312e,PWN,195.7500,-63.2000,1,1
4FGL_J1355.2-6420e,PWN,208.8020,-64.3450,1,1
4FGL_J1824.5-1351e,PWN,276.1298,-13.8521,1,1
4FGL_J0322.6-3712e,RDG,50.6700,-37.2100,1,1
4FGL_J0316.8+4120,RDG,49.2147,41.3464,1,1
4FGL_J1324.0-4330e,RDG,201.0000,-43.5000,1,1
4FGL_J0433.0+0522,RDG,68.2618,5.3696,1,1
4FGL_J0319.8+4130,RDG,49.9575,41.5121,1,1
4FGL_J1325.5-4300,RDG,201.3813,-43.0165,1,1
4FGL_J1023.3-5747e,SFR,155.8280,-57.7940,1,1
4FGL_J2028.6+4110e,SFR,307.1700,41.1700,1,1
4FGL_J1626.9-2431e,SFR,246.7500,-24.5310,1,1
4FGL_J0639.4+0655e,SNR,99.8600,6.9300,1,1
4FGL_J1801.3-2326e,SNR,270.3400,-23.4400,1,1
4FGL_J1443.0-6227e,SNR,220.7600,-62.4500,1,1
4FGL_J1805.6-2136e,SNR,271.4083,-21.6117,1,1
4FGL_J1855.9+0121e,SNR,283.9900,1.3550,1,1
4FGL_J0540.3+2756e,SNR,85.1000,27.9400,1,1
4FGL_J1615.3-5146e,SNR,243.8300,-51.7800,1,1
4FGL_J1533.9-5712e,SNR,233.5000,-57.2000,1,1
4FGL_J0221.4+6241e,SNR,35.3600,62.6900,1,1
4FGL_J0500.3+4639e,SNR,75.0800,46.6600,1,1
4FGL_J1636.3-4731e,SNR,249.0790,-47.5230,1,1
4FGL_J0822.1-4253e,SNR,125.5440,-42.8890,1,1
4FGL_J2051.0+3049e,SNR,312.7500,30.8300,1,1
4FGL_J1713.5-3945e,SNR,258.3900,-39.7600,1,1
4FGL_J2045.2+5026e,SNR,311.3200,50.4400,1,1
